horizon,lookback,split_tuning_skeleton,seed,validation_rmse,selected_feature_count,best_epoch,C,epsilon
20,10,chronological_712,42,355.4431015001012,740,,10.0,0.2
20,10,chronological_712,42,283.5411569759293,740,,100.0,0.05
20,10,chronological_712,42,283.54338671229397,740,,100.0,0.2
20,10,chronological_712,2024,355.3325202017059,740,,10.0,0.05
20,10,chronological_712,2024,355.4431015001012,740,,10.0,0.2
20,10,chronological_712,2024,283.5411569759293,740,,100.0,0.05
20,10,chronological_712,2024,283.54338671229397,740,,100.0,0.2
20,10,chronological_712,3407,355.3325202017059,740,,10.0,0.05
20,10,chronological_712,3407,355.4431015001012,740,,10.0,0.2
20,10,chronological_712,3407,283.5411569759293,740,,100.0,0.05
20,10,chronological_712,3407,283.54338671229397,740,,100.0,0.2
20,15,chronological_712,42,337.70349989410175,1110,,10.0,0.05
20,15,chronological_712,42,337.50133099537163,1110,,10.0,0.2
20,15,chronological_712,42,283.30604301470925,1110,,100.0,0.05
20,15,chronological_712,42,283.3288136623581,1110,,100.0,0.2
20,15,chronological_712,2024,337.70349989410175,1110,,10.0,0.05
20,15,chronological_712,2024,337.50133099537163,1110,,10.0,0.2
20,15,chronological_712,2024,283.30604301470925,1110,,100.0,0.05
20,15,chronological_712,2024,283.3288136623581,1110,,100.0,0.2
20,15,chronological_712,3407,337.70349989410175,1110,,10.0,0.05
20,15,chronological_712,3407,337.50133099537163,1110,,10.0,0.2
20,15,chronological_712,3407,283.30604301470925,1110,,100.0,0.05
20,15,chronological_712,3407,283.3288136623581,1110,,100.0,0.2
20,20,chronological_712,42,328.74379161656896,1480,,10.0,0.05
20,20,chronological_712,42,328.76482021372243,1480,,10.0,0.2
20,20,chronological_712,42,274.7116171745269,1480,,100.0,0.05
20,20,chronological_712,42,274.5926286653712,1480,,100.0,0.2
20,20,chronological_712,2024,328.74379161656896,1480,,10.0,0.05
20,20,chronological_712,2024,328.76482021372243,1480,,10.0,0.2
20,20,chronological_712,2024,274.7116171745269,1480,,100.0,0.05
20,20,chronological_712,2024,274.5926286653712,1480,,100.0,0.2
20,20,chronological_712,3407,328.74379161656896,1480,,10.0,0.05
20,20,chronological_712,3407,328.76482021372243,1480,,10.0,0.2
20,20,chronological_712,3407,274.7116171745269,1480,,100.0,0.05
20,20,chronological_712,3407,274.5926286653712,1480,,100.0,0.2
